metric,region,model,value
90p,Central,PRECIS,0.7964035630697239
90p,Central,HADGEM2-ES,0.3880846137670257
90p,Core Monsoon,PRECIS,0.7611105153637168
90p,Core Monsoon,HADGEM2-ES,0.15529060226806793
90p,East Coast,PRECIS,0.7806088304455826
90p,East Coast,HADGEM2-ES,0.8301253306380664
90p,India,PRECIS,0.7452414604352549
90p,India,HADGEM2-ES,0.599968660128399
90p,Inner Peninsular,PRECIS,0.6973986049103317
90p,Inner Peninsular,HADGEM2-ES,0.680022065014191
90p,North East,PRECIS,0.39483209927895635
90p,North East,HADGEM2-ES,0.32315084009984496
90p,North West,PRECIS,0.7737662837740056
90p,North West,HADGEM2-ES,0.7607785635504773
90p,West Coast,PRECIS,0.862239584465406
90p,West Coast,HADGEM2-ES,0.6211740517466722
95p,Central,PRECIS,0.6634603790159549
95p,Central,HADGEM2-ES,0.426812384696073
95p,Core Monsoon,PRECIS,0.7327263207811152
95p,Core Monsoon,HADGEM2-ES,0.26735010112588015
95p,East Coast,PRECIS,0.7896378556298532
95p,East Coast,HADGEM2-ES,0.8192513771750584
95p,India,PRECIS,0.6975385160609611
95p,India,HADGEM2-ES,0.5619959370176261
95p,Inner Peninsular,PRECIS,0.7174360100698947
95p,Inner Peninsular,HADGEM2-ES,0.7075386580836175
95p,North East,PRECIS,0.3281703322041801
95p,North East,HADGEM2-ES,0.19447981516773882
95p,North West,PRECIS,0.7067005727050792
95p,North West,HADGEM2-ES,0.7078322253215951
95p,West Coast,PRECIS,0.844267418428054
95p,West Coast,HADGEM2-ES,0.6264139186743022
99p,Central,PRECIS,0.1270037779522101
99p,Central,HADGEM2-ES,0.24649112340581106
99p,Core Monsoon,PRECIS,0.48355655251321916
99p,Core Monsoon,HADGEM2-ES,0.32843584718319985
99p,East Coast,PRECIS,0.3007016693249614
99p,East Coast,HADGEM2-ES,0.47367980288518574
99p,India,PRECIS,0.5257481705113408
99p,India,HADGEM2-ES,0.48230853949968544
99p,Inner Peninsular,PRECIS,0.7367353122370764
99p,Inner Peninsular,HADGEM2-ES,0.7470485499824179
99p,North East,PRECIS,0.28276698442959064
99p,North East,HADGEM2-ES,0.14882137348768087
99p,North West,PRECIS,0.4837187006167934
99p,North West,HADGEM2-ES,0.4823255337963546
99p,West Coast,PRECIS,0.7409661307657239
99p,West Coast,HADGEM2-ES,0.5591896125713685
A_abs,Central,PRECIS,0.45412990647533225
A_abs,Central,HADGEM2-ES,-0.2424069214520667
A_abs,Core Monsoon,PRECIS,0.6165220016005478
A_abs,Core Monsoon,HADGEM2-ES,0.25143661931051714
A_abs,East Coast,PRECIS,0.8470031459511126
A_abs,East Coast,HADGEM2-ES,0.9070162635876097
A_abs,India,PRECIS,0.7098186302561784
A_abs,India,HADGEM2-ES,0.4360283473807624
A_abs,Inner Peninsular,PRECIS,0.8222591343063282
A_abs,Inner Peninsular,HADGEM2-ES,0.8126924877517634
A_abs,North East,PRECIS,0.23887561378871186
A_abs,North East,HADGEM2-ES,-0.10145253849769123
A_abs,North West,PRECIS,0.43689618369669697
A_abs,North West,HADGEM2-ES,0.34365148939277357
A_abs,West Coast,PRECIS,0.8220139828326637
A_abs,West Coast,HADGEM2-ES,0.6026643916687636
B_abs,Central,PRECIS,0.7747776513650635
B_abs,Central,HADGEM2-ES,0.7923471829584121
B_abs,Core Monsoon,PRECIS,0.8519501385013457
B_abs,Core Monsoon,HADGEM2-ES,0.48228712192336454
B_abs,East Coast,PRECIS,0.8985472109344786
B_abs,East Coast,HADGEM2-ES,0.8992205111340513
B_abs,India,PRECIS,0.7696752164419398
B_abs,India,HADGEM2-ES,0.7379546859833357
B_abs,Inner Peninsular,PRECIS,0.7150149202244926
B_abs,Inner Peninsular,HADGEM2-ES,0.7159618114772757
B_abs,North East,PRECIS,0.3326360840634459
B_abs,North East,HADGEM2-ES,0.4209914835609286
B_abs,North West,PRECIS,0.6106706565394681
B_abs,North West,HADGEM2-ES,0.88699043058695
B_abs,West Coast,PRECIS,0.8764083716328673
B_abs,West Coast,HADGEM2-ES,0.7274169794091236
cdd_1_5,Central,PRECIS,0.5678092285631193
cdd_1_5,Central,HADGEM2-ES,0.3703717176131774
cdd_1_5,Core Monsoon,PRECIS,0.4775390372431932
cdd_1_5,Core Monsoon,HADGEM2-ES,0.5122025701613053
cdd_1_5,East Coast,PRECIS,0.7513722234807277
cdd_1_5,East Coast,HADGEM2-ES,0.10807168075885214
cdd_1_5,India,PRECIS,0.7151498588837667
cdd_1_5,India,HADGEM2-ES,0.3915108094613191
cdd_1_5,Inner Peninsular,PRECIS,0.7508348676516758
cdd_1_5,Inner Peninsular,HADGEM2-ES,0.3725625544503331
cdd_1_5,North East,PRECIS,-0.09334900142689392
cdd_1_5,North East,HADGEM2-ES,0.3237451608872946
cdd_1_5,North West,PRECIS,0.8275627525713032
cdd_1_5,North West,HADGEM2-ES,0.7632036277542277
cdd_1_5,West Coast,PRECIS,0.5941471046245972
cdd_1_5,West Coast,HADGEM2-ES,0.7348027800066935
cwd_1_5,Central,PRECIS,0.5960176670669789
cwd_1_5,Central,HADGEM2-ES,0.28891926859509504
cwd_1_5,Core Monsoon,PRECIS,0.6650050454652336
cwd_1_5,Core Monsoon,HADGEM2-ES,0.36336509314412435
cwd_1_5,East Coast,PRECIS,0.5832902362503154
cwd_1_5,East Coast,HADGEM2-ES,0.7249330977745746
cwd_1_5,India,PRECIS,0.686588010025638
cwd_1_5,India,HADGEM2-ES,0.3823445683121563
cwd_1_5,Inner Peninsular,PRECIS,0.69980966621548
cwd_1_5,Inner Peninsular,HADGEM2-ES,0.6233771476335913
cwd_1_5,North East,PRECIS,0.6002160572087251
cwd_1_5,North East,HADGEM2-ES,0.29669556607161585
cwd_1_5,North West,PRECIS,0.7980443058398078
cwd_1_5,North West,HADGEM2-ES,0.6088918813715583
cwd_1_5,West Coast,PRECIS,0.6260249809736658
cwd_1_5,West Coast,HADGEM2-ES,0.46551563572010085
r90p,Central,PRECIS,0.20578536527872848
r90p,Central,HADGEM2-ES,-0.08996502998140431
r90p,Core Monsoon,PRECIS,0.6743753422141675
r90p,Core Monsoon,HADGEM2-ES,0.4140826924048318
r90p,East Coast,PRECIS,0.5989722979754177
r90p,East Coast,HADGEM2-ES,0.5185119140140437
r90p,India,PRECIS,0.7298883499717808
r90p,India,HADGEM2-ES,0.4566987563024842
r90p,Inner Peninsular,PRECIS,0.6804261686900053
r90p,Inner Peninsular,HADGEM2-ES,0.41616059107123715
r90p,North East,PRECIS,0.35578674446570485
r90p,North East,HADGEM2-ES,0.4593860107272079
r90p,North West,PRECIS,0.6436099921696046
r90p,North West,HADGEM2-ES,0.37085338405741797
r90p,West Coast,PRECIS,0.6107439722781252
r90p,West Coast,HADGEM2-ES,0.40878675648341134
timmean,Central,PRECIS,0.7221969642485734
timmean,Central,HADGEM2-ES,0.4176403721902609
timmean,Core Monsoon,PRECIS,0.7193932562550927
timmean,Core Monsoon,HADGEM2-ES,0.21788383634547773
timmean,East Coast,PRECIS,0.8221625638485416
timmean,East Coast,HADGEM2-ES,0.8470457410558115
timmean,India,PRECIS,0.6720770997505606
timmean,India,HADGEM2-ES,0.6063167474040699
timmean,Inner Peninsular,PRECIS,0.787709689569104
timmean,Inner Peninsular,HADGEM2-ES,0.764783124388999
timmean,North East,PRECIS,0.4011092942951
timmean,North East,HADGEM2-ES,0.5051709065163318
timmean,North West,PRECIS,0.7116723732704514
timmean,North West,HADGEM2-ES,0.7330490934983539
timmean,West Coast,PRECIS,0.8342099736318062
timmean,West Coast,HADGEM2-ES,0.6115822103825187
timstd,Central,PRECIS,0.3367978697365806
timstd,Central,HADGEM2-ES,0.1294531181516495
timstd,Core Monsoon,PRECIS,0.40862438819242225
timstd,Core Monsoon,HADGEM2-ES,0.22815009726021213
timstd,East Coast,PRECIS,0.400142641605192
timstd,East Coast,HADGEM2-ES,0.5003952932366332
timstd,India,PRECIS,0.5119584175598939
timstd,India,HADGEM2-ES,0.3349406380586657
timstd,Inner Peninsular,PRECIS,0.5872869714478092
timstd,Inner Peninsular,HADGEM2-ES,0.5602311939534569
timstd,North East,PRECIS,0.3840611794605637
timstd,North East,HADGEM2-ES,0.09407131018416645
timstd,North West,PRECIS,0.6280764025037114
timstd,North West,HADGEM2-ES,0.4395552584334132
timstd,West Coast,PRECIS,0.6427163060076434
timstd,West Coast,HADGEM2-ES,0.47361917439695816
